"Year","Species","Pounds","Dollars","Habitat"
1995,"TUNA, BLUEFIN PACIFIC",50000,1724594.83637857,"Pelagic"
1995,"LOBSTER, CARIBBEAN SPINY",45000,433522.004741036,"NWHI"
1995,"SNAPPERS, LUTJANIDAE (FAMILY) **",221000,971469.017923343,"Deep"
1995,"SHARKS, CHONDRICHTHYES (CLASS) **",2575000,1427141.78203071,"Pelagic"
1996,"TUNAS **",9000,20199.2123938578,"Pelagic"
1996,"CORALS **",1000,41952.2103564738,"Reef"
1996,"SWORDFISH",5871000,21549452.0531087,"Pelagic"
1996,"SNAPPER, RED",473000,3245858.05313607,"Deep"
1996,"TUNA, BIGEYE",5233000,31088141.6597159,"Pelagic"
1996,"BILLFISHES **",2806000,3853388.21052056,"Pelagic"
1996,"CRUSTACEANS **",72000,428844.816977288,"Reef"
1996,"SPEARFISHES **",210000,357370.680814407,"Pelagic"
1996,"TUNA, ALBACORE",2951000,4697093.77435631,"Pelagic"
1996,"TUNA, SKIPJACK",2192000,4537053.86077421,"Pelagic"
1996,"TUNA, YELLOWFIN",3674000,13836460.4897926,"Pelagic"
1996,"VERTEBRATES, JAWED",3429000,9673868.95108911,"Jawed Vertebrates"
1996,"SHRIMPS, PENAEID **",32000,248605.691001326,"Deep"
1996,"TUNA, BLUEFIN PACIFIC",60000,1615936.99150862,"Pelagic"
1996,"LOBSTER, CARIBBEAN SPINY",212000,2322909.42529364,"NWHI"
1996,"SNAPPERS, LUTJANIDAE (FAMILY) **",173000,739601.930728946,"Deep"
1996,"SHARKS, CHONDRICHTHYES (CLASS) **",4472000,1633028.63276496,"Pelagic"
1997,"TUNAS **",9000,19856.6296680881,"Pelagic"
1997,"CORALS **",2000,62624.7551070472,"Reef"
1997,"SWORDFISH",6361000,21475708.702563,"Pelagic"
1997,"SNAPPER, RED",413000,2937253.75782565,"Deep"
1997,"TUNA, BIGEYE",5778000,27376182.580088,"Pelagic"
1997,"CRUSTACEANS **",78000,452120.183211853,"Reef"
1997,"SPEARFISHES **",220000,290212.279764365,"Pelagic"
1997,"TUNA, ALBACORE",4083000,7458455.58994418,"Pelagic"
1997,"TUNA, SKIPJACK",2472000,4874038.86698994,"Pelagic"
1997,"TUNA, YELLOWFIN",4810000,17985524.1801337,"Pelagic"
1997,"VERTEBRATES, JAWED",6960000,15194903.9952416,"Jawed Vertebrates"
1997,"SHRIMPS, PENAEOID **",34000,259663.618736537,"Deep"
1997,"TUNA, BLUEFIN PACIFIC",50000,1191397.78008529,"Pelagic"
1997,"LOBSTER, CARIBBEAN SPINY",197000,1894016.98372533,"NWHI"
1997,"SNAPPERS, LUTJANIDAE (FAMILY) **",89000,395605.160310371,"Deep"
1997,"SHARKS, CHONDRICHTHYES (CLASS) **",5012000,3056393.53583418,"Pelagic"
1998,"TUNAS **",1000,4531.28811114914,"Pelagic"
1998,"CORALS **",30,2718.77286668948,"Reef"
1998,"SWORDFISH",7202000,18066245.6991516,"Pelagic"
1998,"SNAPPER, RED",346000,2310956.93668606,"Deep"
1998,"TUNA, BIGEYE",7407000,32437981.1583463,"Pelagic"
1998,"CRUSTACEANS **",187000,1141884.60400958,"Reef"
1998,"SPEARFISHES **",296000,262814.71044665,"Pelagic"
1998,"TUNA, ALBACORE",3003000,5398274.56974901,"Pelagic"
1998,"TUNA, SKIPJACK",1084000,2119132.40664742,"Pelagic"
1998,"TUNA, YELLOWFIN",3456000,11184729.4876865,"Pelagic"
1998,"VERTEBRATES, JAWED",6794000,15309712.0982026,"Jawed Vertebrates"
1998,"SHRIMPS, PENAEOID **",146000,960633.079563618,"Deep"
1998,"TUNA, BLUEFIN PACIFIC",36000,382138.630706911,"Pelagic"
1998,"LOBSTER, CARIBBEAN SPINY",126000,1329177.84593708,"NWHI"
1998,"SNAPPERS, LUTJANIDAE (FAMILY) **",120000,507504.268448704,"Deep"
1998,"SHARKS, CHONDRICHTHYES (CLASS) **",6222000,2326061.23038989,"Pelagic"
1999,"TUNAS **",5960,11291.6195894025,"Pelagic"
1999,"CORALS **",2848,106349.153185981,"Reef"
1999,"SWORDFISH",6847322,19289258.8150541,"Pelagic"
1999,"SNAPPER, RED",386362,2572180.59861386,"Deep"
1999,"TUNA, BIGEYE",6152197,30269972.3500795,"Pelagic"
1999,"CRUSTACEANS **",218438,1300386.16592335,"Reef"
1999,"SPEARFISHES **",472000,591316.841708584,"Pelagic"
1999,"TUNA, ALBACORE",3872494,6504255.88148051,"Pelagic"
1999,"TUNA, SKIPJACK",1943872,3627886.70696836,"Pelagic"
1999,"TUNA, YELLOWFIN",3062896,10000688.5350941,"Pelagic"
1999,"VERTEBRATES, JAWED",7110177,16480198.4770075,"Jawed Vertebrates"
1999,"SHRIMPS, PENAEOID **",19038,174654.440450248,"Deep"
1999,"TUNA, BLUEFIN PACIFIC",23000,224908.924680091,"Pelagic"
1999,"LOBSTER, CARIBBEAN SPINY",142652,1521499.93868235,"NWHI"
1999,"SNAPPERS, LUTJANIDAE (FAMILY) **",339798,1180751.0020874,"Deep"
1999,"SHARKS, CHONDRICHTHYES (CLASS) **",6307786,2298950.51277833,"Pelagic"
2000,"TUNAS **",6702,14962.0685394591,"Pelagic"
2000,"SWORDFISH",6521184,18634295.8398375,"Pelagic"
2000,"SNAPPER, RED",420815,2853730.93106641,"Deep"
2000,"TUNA, BIGEYE",6170906,31233691.6544893,"Pelagic"
2000,"CRUSTACEANS **",57848,307990.241198655,"Reef"
2000,"SPEARFISHES **",271001,477714.249093991,"Pelagic"
2000,"TUNA, ALBACORE",2288550,4879683.56321876,"Pelagic"
2000,"TUNA, SKIPJACK",1653920,3002244.71759115,"Pelagic"
2000,"TUNA, YELLOWFIN",4808084,18367613.3167266,"Pelagic"
2000,"VERTEBRATES, JAWED",6685995,17205319.9842221,"Jawed Vertebrates"
2000,"SHRIMPS, PENAEOID **",886,8648.3756436589,"Deep"
2000,"LOBSTER, BANDED SPINY",10394,176515.41504023,"Reef"
2000,"TUNA, BLUEFIN PACIFIC",8000,125254.345799034,"Pelagic"
2000,"SNAPPERS, LUTJANIDAE (FAMILY) **",326845,1144898.99934312,"Deep"
2000,"SHARKS, CHONDRICHTHYES (CLASS) **",3300200,1257375.94542477,"Pelagic"
2001,"TUNAS **",10240,17705.3949888446,"Pelagic"
2001,"SWORDFISH",679746,1909278.52394024,"Pelagic"
2001,"SNAPPER, RED",304217,1922639.82314306,"Deep"
2001,"TUNA, BIGEYE",6388583,31697311.6218445,"Pelagic"
2001,"CRUSTACEANS **",57372,879257.805733123,"Reef"
2001,"SPEARFISHES **",552000,951428.191822717,"Pelagic"
2001,"TUNA, ALBACORE",3111763,6238246.88656589,"Pelagic"
2001,"TUNA, SKIPJACK",1771530,3040066.59715224,"Pelagic"
2001,"TUNA, YELLOWFIN",3859490,14099950.7344639,"Pelagic"
2001,"VERTEBRATES, JAWED",6521446,15577517.2920709,"Jawed Vertebrates"
2001,"SHRIMPS, PENAEOID **",7554,89619.4082123787,"Deep"
2001,"LOBSTER, BANDED SPINY",7964,136866.078839839,"Reef"
2001,"TUNA, BLUEFIN PACIFIC",2000,31334.461407335,"Pelagic"
2001,"SNAPPERS, LUTJANIDAE (FAMILY) **",275664,916612.756611767,"Deep"
2001,"SHARKS, CHONDRICHTHYES (CLASS) **",320902,203688.242084681,"Pelagic"
2002,"OPAH",912187,1710249.63033907,"Pelagic"
2002,"WAHOO",654987,2020948.47898006,"Pelagic"
2002,"EELS **",768,1354.77314507694,"Reef"
2002,"ESCOLAR",3972,5590.19229428227,"Pelagic"
2002,"OILFISH",203333,406339.381382734,"Pelagic"
2002,"SEAWEED",14672,153333.392854608,"Reef"
2002,"JACKS **",56784,137280.873787786,"Reef"
2002,"SAILFISH",11002,21618.8695976822,"Pelagic"
2002,"TUNAS **",1812,14700.5508350895,"Pelagic"
2002,"ALFONSINO",11,44.8786135015134,"Pelagic"
2002,"SWORDFISH",707787,1937301.7556966,"Pelagic"
2002,"LIMPETS **",8106,91668.775446857,"Reef"
2002,"MULLETS **",160,507.689315235871,"Fishpond"
2002,"DOLPHINFISH",1367673,3658364.32697618,"Pelagic"
2002,"EMPERORS **",3254,12700.6476209283,"Reef"
2002,"JACK, BLACK",4084,8674.19451583939,"Reef"
2002,"POMFRETS **",489784,946726.973924473,"Pelagic"
2002,"TILAPIAS **",373,1046.23267725403,"Fishpond"
2002,"JACK, ALMACO",966,1238.36924130739,"Pelagic"
2002,"MARLIN, BLUE",868147,1419430.60502257,"Pelagic"
2002,"OCTOPUSES **",23952,97229.5161510289,"Reef"
2002,"SCAD, BIGEYE",282803,743161.790451624,"Reef"
2002,"SQUID, JUMBO",2189,7535.39969823849,"Pelagic"
2002,"TUNA, BIGEYE",10628443,39924837.8130128,"Pelagic"
2002,"BILLFISHES **",654,1253.79626469853,"Pelagic"
2002,"GOATFISHES **",59078,235325.217265201,"Reef"
2002,"MARLIN, BLACK",7932,12904.003838357,"Pelagic"
2002,"RUDDERFISH **",26670,38871.8915756702,"Reef"
2002,"THREADFINS **",166,1054.64741728557,"Fishpond"
2002,"CRUSTACEANS **",3936,151801.910168869,"Reef"
2002,"SCAD, MACKEREL",245056,645768.18686998,"Reef"
