"Year","NMFS Name","Pounds","Metric Tons","Dollars","Confidentiality","Collection","Scientific Name","Tsn"
"1990","SEA BASS, GIANT","132,000","60","290,000","Public","Commercial","Stereolepis gigas","167918"
"1990","TUNA, YELLOWFIN","7,880,000","3,574","19,700,000","Public","Commercial","Thunnus albacares","172423"
"1990","VERTEBRATES, JAWED","3,072,000","1,393","4,848,000","Public","Commercial","Gnathostomata ","914179"
"1990","LOBSTER, CARIBBEAN SPINY","794,000","360","4,390,000","Public","Commercial","Panulirus argus","97648"
"1990","SNAPPERS, LUTJANIDAE (FAMILY) **","624,000","283","1,541,000","Public","Commercial","Lutjanidae","168845"
"1990","SHARKS, CHONDRICHTHYES (CLASS) **","241,000","109","140,000","Public","Commercial","Chondrichthyes","159785"
"1991","SAILFISH","18,000","8","16,000","Public","Commercial","Istiophorus platypterus","172488"
"1991","TUNAS **","86,000","39","73,000","Public","Commercial","Thunnus","172418"
"1991","SWORDFISH","8,710,000","3,951","18,727,000","Public","Commercial","Xiphias gladius","172482"
"1991","TUNA, BIGEYE","3,400,000","1,542","12,750,000","Public","Commercial","Thunnus obesus","172428"
"1991","BILLFISHES **","3,015,000","1,368","2,779,000","Public","Commercial","Istiophoridae","172486"
"1991","CRUSTACEANS **","18,000","8","90,000","Public","Commercial","Crustacea","83677"
"1991","SPEARFISHES **","259,000","117","233,000","Public","Commercial","Tetrapturus ","172498"
"1991","TUNA, ALBACORE","699,000","317","909,000","Public","Commercial","Thunnus alalunga","172419"
"1991","TUNA, SKIPJACK","2,579,000","1,170","3,006,000","Public","Commercial","Katsuwonus pelamis","172401"
"1991","SEA BASS, GIANT","119,000","54","382,000","Public","Commercial","Stereolepis gigas","167918"
"1991","TUNA, YELLOWFIN","1,743,000","791","4,794,000","Public","Commercial","Thunnus albacares","172423"
"1991","VERTEBRATES, JAWED","5,838,000","2,648","9,268,000","Public","Commercial","Gnathostomata ","914179"
"1991","TUNA, BLUEFIN PACIFIC","5,000","2","35,000","Public","Commercial","Thunnus orientalis","172422"
"1991","LOBSTER, CARIBBEAN SPINY","193,000","88","1,084,000","Public","Commercial","Panulirus argus","97648"
"1991","SNAPPERS, LUTJANIDAE (FAMILY) **","705,000","320","3,405,000","Public","Commercial","Lutjanidae","168845"
"1991","SHARKS, CHONDRICHTHYES (CLASS) **","275,000","125","151,000","Public","Commercial","Chondrichthyes","159785"
"1992","CORALS **","2,000","1","40,000","Public","Commercial","Anthozoa","51938"
"1992","SWORDFISH","10,883,000","4,936","31,670,000","Public","Commercial","Xiphias gladius","172482"
"1992","SNAPPER, RED","143,000","65","694,000","Public","Commercial","Lutjanus campechanus","168853"
"1992","TUNA, BIGEYE","3,900,000","1,769","14,118,000","Public","Commercial","Thunnus obesus","172428"
"1992","BILLFISHES **","2,650,000","1,202","3,174,000","Public","Commercial","Istiophoridae","172486"
"1992","CRUSTACEANS **","205,000","93","848,000","Public","Commercial","Crustacea","83677"
"1992","TUNA, ALBACORE","925,000","420","1,036,000","Public","Commercial","Thunnus alalunga","172419"
"1992","TUNA, SKIPJACK","1,987,000","901","2,782,000","Public","Commercial","Katsuwonus pelamis","172401"
"1992","SEA BASS, GIANT","81,000","37","225,000","Public","Commercial","Stereolepis gigas","167918"
"1992","TUNA, YELLOWFIN","2,689,000","1,220","6,185,000","Public","Commercial","Thunnus albacares","172423"
"1992","VERTEBRATES, JAWED","2,982,000","1,353","5,586,000","Public","Commercial","Gnathostomata ","914179"
"1992","SHRIMPS, PENAEID **","3,000","1","12,000","Public","Commercial","Penaeidae","95602"
"1992","SQUIDS, LOLIGINIDAE **","21,000","10","45,000","Public","Commercial","Loliginidae","82369"
"1992","LOBSTER, CARIBBEAN SPINY","323,000","147","1,680,000","Public","Commercial","Panulirus argus","97648"
"1992","SNAPPERS, LUTJANIDAE (FAMILY) **","625,000","283","1,650,000","Public","Commercial","Lutjanidae","168845"
"1992","SHARKS, CHONDRICHTHYES (CLASS) **","474,000","215","474,000","Public","Commercial","Chondrichthyes","159785"
"1993","CORALS **","1,000","0","17,000","Public","Commercial","Anthozoa","51938"
"1993","SWORDFISH","13,486,000","6,117","26,893,000","Public","Commercial","Xiphias gladius","172482"
"1993","SNAPPER, RED","183,000","83","880,000","Public","Commercial","Lutjanus campechanus","168853"
"1993","TUNA, BIGEYE","4,200,000","1,905","14,430,000","Public","Commercial","Thunnus obesus","172428"
"1993","BILLFISHES **","2,918,000","1,324","3,046,000","Public","Commercial","Istiophoridae","172486"
"1993","CRUSTACEANS **","1,151,000","522","2,022,000","Public","Commercial","Crustacea","83677"
"1993","TUNA, ALBACORE","1,204,000","546","1,434,000","Public","Commercial","Thunnus alalunga","172419"
