Year,State,NMFS Name,Spatial,Pounds,Dollars,Collection,Confidentiality
2014,HAWAII,JACKS **,,"20,893","70,099",Commercial,Public
2014,HAWAII,"JOBFISH, GREEN /UKU ",,"82,416","365,986",Commercial,Public
2014,HAWAII,"LEATHERSKIN, LARGEMOUTHED ",,272,654,Commercial,Public
2014,HAWAII,LIMPETS **,,"11,139","72,692",Commercial,Public
2014,HAWAII,"LOBSTER, BANDED SPINY ",,"10,172","104,091",Commercial,Public
2014,HAWAII,"LOBSTERS, SLIPPER **",,106,841,Commercial,Public
2014,HAWAII,"MACKEREL, FRIGATE ",,18,39,Commercial,Public
2014,HAWAII,"MARLIN, BLUE ",,"1,220,251","1,606,728",Commercial,Public
2014,HAWAII,MILKFISH ,,"1,937","3,052",Commercial,Public
2014,HAWAII,"MULLET, STRIPED ",,"5,772","27,194",Commercial,Public
2014,HAWAII,MULLETS **,,"1,934","5,718",Commercial,Public
2014,HAWAII,OCTOPUSES **,,"20,343","92,666",Commercial,Public
2014,HAWAII,OILFISH ,,"530,897","406,820",Commercial,Public
2014,HAWAII,OPAH ,,"2,004,422","2,909,738",Commercial,Public
2014,HAWAII,PARROTFISHES **,,"73,679","288,594",Commercial,Public
2014,HAWAII,POMFRETS **,,"1,243,062","2,465,553",Commercial,Public
