"Year","NMFS.Name","Pounds","Dollars","nominal_revenue"
2002,"SCAD, MACKEREL ",245056,637767.428732704,460455
2002,"SCORPIONFISHES **",2759,16220.6824942474,11711
2002,"SEAWEED",14672,151433.665652895,109332
2002,"SHARKS, CHONDRICHTHYES (CLASS) **",1188,508.324692629904,367
2002,"SHARKS, MAKO **",176232,112097.367912598,80932
2002,"SHARKS, THRESHER **",81362,36286.3495845183,26198
2002,"SHRIMP, MARINE **",449,4662.18233076909,3366
2002,"SNAPPER, GLASSEYE ",3726,14040.5651476549,10137
2002,"SNAPPERS, LUTJANIDAE (FAMILY) **",399830,2444141.46896071,1764620
2002,"SPEARFISHES **",313627,372482.882739773,268925
2002,"SQUID, JUMBO ",2189,7442.03970981055,5373
2002,"SQUIRRELFISHES **",50963,232974.763690539,168203
2002,"STRIPED MARLIN",611826,1359517.85314094,981544
2002,"SURGEONFISHES **",131872,251151.18042455,181326
2002,"SWORDFISH ",707787,1913299.5160363,1381363
2002,"TENPOUNDER, HAWAIIAN",138,218.842783203065,158
2002,"THREADFINS **",166,1041.58084157408,752
2002,"TILAPIAS **",373,1033.27035613599,746
2002,"TRIGGERFISHES **",2370,4504.28310744536,3252
2002,"TUNA, ALBACORE ",1640907,2666838.93232614,1925403
2002,"TUNA, BIGEYE ",10628443,39430188.2196964,28467787
2002,"TUNA, KAWAKAWA ",8839,12076.5204224527,8719
2002,"TUNA, SKIPJACK ",949209,1669925.5649009,1205652
2002,"TUNA, YELLOWFIN ",2608935,8190214.70775011,5913167
2002,"TUNAS **",1812,14518.4180603451,10482
2002,"VERTEBRATES, JAWED",20384,71406.4610458911,51554
2002,"WAHOO ",654987,1995909.89653364,1441006
2003,"ALFONSINO ",33,165.90838390813,122
2003,"BARRACUDAS, SPHYRAENIDAE (FAMILY) **",23963,31091.5031253407,22863
2003,"BILLFISHES **",2208,3953.24321328633,2907
2003,"BLACK MARLIN",4069,5948.22353454228,4374
2003,"BUTTERFLYFISHES, CHAETODONTIDAE (FAMILY) **",282,274.700766798706,202
2003,"CABRILLA, SPOTTED ",7,29.9179052949086,22
2003,"CRABS, DECAPODA (ORDER) **",10902,56419.7297670531,41488
2003,"CRUSTACEANS **",4290,160434.767143947,117975
2003,"CUCUMBERS, SEA **",287,1263.35154631682,929
2003,"DOLPHINFISH ",1311806,3958699.15128829,2911012
2003,"EELS **",922,1389.82269142712,1022
2003,"EMPERORS **",4470,14190.6064432896,10435
2003,"ESCOLAR ",3255,4528.48293782026,3330
2003,"GOATFISHES **",48217,182624.333539267,134292
2003,"GROUPERS, SERRANIDAE (FAMILY) **",46583,250824.918468583,184443
2003,"JACK, ALMACO ",1736,1569.33012319657,1154
2003,"JACK, BLACK ",3753,8113.19195406476,5966
2003,"JACKS **",50597,130446.14680016,95923
2003,"JOBFISH, GREEN /UKU ",141779,468329.449867355,344384
2003,"LEATHERSKIN, LARGEMOUTHED ",557,1086.56392411964,799
2003,"LIMPETS **",10686,87485.3947014573,64332
2003,"LOBSTER, BANDED SPINY ",5541,90503.0234218847,66551
2003,"LOBSTERS, SLIPPER **",35,371.254006614093,273
2003,"MACKEREL, FRIGATE ",5,2.71980957226442,2
2003,"MARLIN, BLUE ",952069,1119231.5568921,823022
2003,"MULLET, STRIPED ",8998,41075.9240651234,30205
2003,"MULLETS **",82,247.502671076062,182
2003,"OCTOPUSES **",25007,97981.1398408257,72050
